栄町駅,さかえまちえき
栄町停留場,さかえまちていりゅうじょう
境野駅,さかいのえき
作返仮乗降場,さくかえしかりじょうこうじょう
桜田駅,さくらだえき
笹森駅,ささもりえき
札幌市場駅,さっぽろしじょうえき
佐幌駅,さほろえき
様舞駅,さままいえき
更岸駅,さらきしえき
更別駅,さらべつえき
猿払駅,さるふつえき
沙留駅,さるるえき
佐呂間駅,さろまえき
沢木駅,さわきえき
参郷駅,さんごうえき
三泊駅,さんとまりえき
自衛隊前駅,じえいたいまええき
塩幌駅,しおほろえき
潮見町駅,しおみちょうえき
鹿追駅,しかおいえき
四号線駅,しごうせんえき
静川駅,しずかわえき
志撫子仮乗降場,しぶしかりじょうこうじょう
士幌駅,しほろえき
清水谷駅,しみずたにえき
下鶉駅,しもうずらえき
下川駅,しもかわえき
下越川駅,しもこしかわえき
下渚滑駅,しもしょこつえき
下頓別駅,しもとんべつえき
下の月駅,しものつきえき
下北進駅,しもほくしんえき
下幌成駅,しもほろなりえき
尺別炭山駅,しゃくべつたんざんえき
舎熊駅,しゃぐまえき
社尺別駅,しゃしゃくべつえき
斜内駅,しゃないえき
十六号線仮乗降場,じゅうろくごうせんかりじょうこうじょう
シューパロ湖駅,しゅーぱろこえき
周磨駅,しゅうまろえき
十四号仮乗降場,じゅうよんごうかりじょうこうじょう
十六号仮乗降場,じゅうろくごうかりじょうこうじょう
朱鞠内駅,しゅまりないえき
朱文別駅,しゅもんべつえき
春別駅,しゅんべつえき
上東仮乗降場,じょうとうかりじょうこうじょう
小利別駅,しょうとしべつえき
小頓別駅,しょうとんべつえき
渚滑駅,しょこつえき
初山別駅,しょさんべつえき
白樺駅,しらかばえき
白符駅,しらふえき
新大滝駅,しんおおたきえき
新釧路駅,しんくしろえき
新士幌仮乗降場,しんしほろかりじょうこうじょう
新清水沢駅,しんしみずさわえき
新尺別駅,しんしゃくべつえき
新生駅,しんせいえき
新世橋前駅,しんせいばしまええき
新苫小牧駅,しんとまこまいえき
新富駅,しんとみえき
新成生駅,しんなりうえき
新二岐駅,しんふたまたえき
