35,1110135,"1110135","北豊津","きたとよつ","山越郡長万部町字豊津","140.297868","42.400969","JR函館本線(函館～長万部)","JR函館本線(函館～長万部)","北海道"
36,1110136,"1110136","国縫","くんぬい","山越郡長万部町字国縫","140.320885","42.439319","JR函館本線(函館～長万部)","JR函館本線(函館～長万部)","北海道"
37,1110137,"1110137","中ノ沢","なかのさわ","山越郡長万部町字中の沢","140.346077","42.477928","JR函館本線(函館～長万部)","JR函館本線(函館～長万部)","北海道"
38,1110138,"1110138","長万部","おしゃまんべ","山越郡長万部町字長万部","140.37507","42.512477","JR函館本線(函館～長万部)","JR函館本線(函館～長万部)","北海道"
39,1110201,"1110138","長万部","おしゃまんべ","山越郡長万部町字長万部","140.37507","42.512477","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
40,1110202,"1110202","二股","ふたまた","山越郡長万部町字双葉","140.320821","42.575869","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
41,1110203,"1110203","蕨岱","わらびたい","山越郡長万部町字蕨岱","140.313353","42.626353","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
42,1110204,"1110204","黒松内","くろまつない","寿都郡黒松内町字黒松内","140.305704","42.669608","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
43,1110205,"1110205","熱郛","ねっぷ","寿都郡黒松内町字白井川","140.375084","42.675653","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
44,1110206,"1110206","目名","めな","磯谷郡蘭越町目名町","140.465742","42.761432","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
45,1110207,"1110207","蘭越","らんこし","磯谷郡蘭越町蘭越町","140.52894","42.804542","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
46,1110208,"1110208","昆布","こんぶ","磯谷郡蘭越町昆布町","140.596107","42.797984","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
47,1110209,"1110209","ニセコ","ニセコ","虻田郡ニセコ町字中央通","140.684588","42.808746","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
48,1110210,"1110210","比羅夫","ひらふ","虻田郡倶知安町比羅夫","140.722615","42.84856","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
49,1110211,"1110211","倶知安","くっちゃん","虻田郡倶知安町北三条西４丁目","140.745471","42.90164","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
50,1110212,"1110212","小沢","こざわ","岩内郡共和町小沢","140.677657","42.97185","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
51,1110213,"1110213","銀山","ぎんざん","余市郡仁木町銀山２丁目","140.715321","43.040888","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
52,1110214,"1110214","然別","しかりべつ","余市郡仁木町然別","140.737211","43.12551","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
53,1110215,"1110215","仁木","にき","余市郡仁木町字北町１丁目","140.770546","43.154091","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
54,1110216,"1110216","余市","よいち","余市郡余市町黒川町５丁目","140.794686","43.186558","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
55,1110217,"1110217","蘭島","らんしま","小樽市蘭島１丁目","140.854643","43.19651","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
56,1110218,"1110218","塩谷","しおや","小樽市塩谷２丁目","140.924546","43.202406","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
57,1110219,"1110219","小樽","おたる","小樽市稲穂２丁目","140.993653","43.197172","JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)","北海道"
58,1110301,"1110219","小樽","おたる","小樽市稲穂２丁目","140.993653","43.197172","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
59,1110302,"1110302","南小樽","みなみおたる","小樽市住吉町","141.007883","43.186529","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
60,1110303,"1110303","小樽築港","おたるちっこう","小樽市築港","141.029051","43.180752","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
61,1110304,"1110304","朝里","あさり","小樽市朝里１丁目","141.063923","43.176868","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
62,1110305,"1110305","銭函","ぜにばこ","小樽市銭函２丁目","141.159868","43.143403","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
63,1110306,"1110306","ほしみ","ほしみ","札幌市手稲区手稲星置１条９丁目","141.191402","43.13373","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
64,1110307,"1110307","星置","ほしおき","札幌市手稲区星置１条３丁目","141.210856","43.132375","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
65,1110308,"1110308","稲穂","いなほ","札幌市手稲区曙１条３丁目","141.222919","43.128115","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
66,1110309,"1110309","手稲","ていね","札幌市手稲区手稲本町１条４丁目","141.243785","43.120238","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
67,1110310,"1110310","稲積公園","いなづみこうえん","札幌市手稲区富丘１条４丁目","141.257113","43.112023","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
68,1110311,"1110311","発寒","はっさむ","札幌市西区発寒９条１３丁目","141.277273","43.099819","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
69,1110312,"1110312","発寒中央","はっさむちゅうおう","札幌市西区発寒十条３丁目","141.294497","43.089271","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
70,1110313,"1110313","琴似","ことに","札幌市西区琴似2条2丁目","141.307418","43.081599","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
71,1110314,"1110314","桑園","そうえん","札幌市中央区北１１条西１５丁目","141.332036","43.070744","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
72,1110315,"1110315","札幌","さっぽろ","札幌市北区北６条西４丁目","141.350768","43.068612","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
73,1110316,"1110316","苗穂","なえぼ","札幌市中央区北３条東１３丁目","141.377522","43.068574","JR函館本線(小樽～旭川)","JR函館本線(小樽～旭川)","北海道"
