107,11405,"JR北陸本線(富山～直江津)","JR北陸本線(富山～直江津)"
108,11406,"JR白新線","JR白新線"
109,11407,"JR飯山線","JR飯山線"
110,11408,"JR越後線","JR越後線"
111,11409,"北アルプス線","JR大糸線"
112,11410,"JR弥彦線","JR弥彦線"
113,11411,"JR中央本線(名古屋～塩尻)","JR中央本線(名古屋～塩尻)"
114,11412,"JR篠ノ井線","JR篠ノ井線"
115,11413,"JR飯田線(豊橋～天竜峡)","JR飯田線(豊橋～天竜峡)"
116,11414,"JR飯田線(天竜峡～辰野)","JR飯田線(天竜峡～辰野)"
117,11415,"JR北陸本線(米原～金沢)","JR北陸本線(米原～金沢)"
118,11416,"JR高山本線","JR高山本線"
119,11417,"JR城端線","JR城端線"
120,11418,"JR氷見線","JR氷見線"
121,11419,"JR七尾線","JR七尾線"
122,11420,"敦賀港線","JR北陸本線(敦賀～敦賀港)"
123,11421,"九頭竜線","JR越美北線"
124,11422,"JR小浜線","JR小浜線"
125,11501,"JR東海道本線(熱海～浜松)","JR東海道本線(熱海～浜松)"
126,11502,"JR東海道本線(浜松～岐阜)","JR東海道本線(浜松～岐阜)"
127,11503,"JR東海道本線(岐阜～美濃赤坂・米原)","JR東海道本線(岐阜～美濃赤坂・米原)"
128,11504,"JR伊東線","JR伊東線"
129,11505,"JR御殿場線","JR御殿場線"
130,11506,"JR武豊線","JR武豊線"
131,11507,"JR太多線","JR太多線"
132,11508,"JR関西本線(名古屋～亀山)","JR関西本線(名古屋～亀山)"
133,11509,"JR関西本線(亀山～加茂)","JR関西本線(亀山～加茂)"
134,11510,"JR紀勢本線","JR紀勢本線"
135,11511,"JR草津線","JR草津線"
136,11512,"JR参宮線","JR参宮線"
137,11513,"JR名松線","JR名松線"
138,11601,"琵琶湖線","JR東海道本線(米原～京都)"
139,11602,"JR京都線","JR東海道本線(京都～大阪)"
140,11603,"JR神戸線(大阪～神戸)","JR東海道本線(大阪～神戸)"
141,11605,"JR湖西線","JR湖西線"
142,11607,"大和路線","JR関西本線(加茂～ＪＲ難波)"
143,11608,"JR神戸線(神戸～姫路)","JR山陽本線(神戸～姫路)"
144,11609,"JR山陽本線(姫路～岡山)","JR山陽本線(姫路～岡山)"
145,11610,"JR山陽本線(岡山～三原)","JR山陽本線(岡山～三原)"
146,11611,"JR山陽本線(三原～岩国)","JR山陽本線(三原～岩国)"
147,11612,"JR山陽本線(岩国～門司)","JR山陽本線(岩国～門司)"
148,11613,"JR山陽本線(兵庫～和田岬)","JR山陽本線(兵庫～和田岬)"
149,11614,"嵯峨野線","JR山陰本線(京都～園部)"
150,11615,"JR山陰本線(園部～豊岡)","JR山陰本線(園部～豊岡)"
151,11616,"JR山陰本線(豊岡～米子)","JR山陰本線(豊岡～米子)"
152,11617,"学研都市線","JR片町線"
153,11618,"奈良線","奈良線"
154,11622,"JR舞鶴線","JR舞鶴線"
155,11623,"大阪環状線","大阪環状線"
156,11624,"JRゆめ咲線","JR桜島線"
157,11625,"JR東西線","JR東西線"
158,11626,"阪和線(天王寺～和歌山)","阪和線(天王寺～和歌山)"
159,11627,"羽衣線","阪和線(鳳～東羽衣)"
160,11628,"JR関西空港線","JR関西空港線"
161,11629,"JR宝塚線","JR福知山線(新大阪～篠山口)"
162,11630,"福知山線(篠山口～福知山)","福知山線(篠山口～福知山)"
163,11631,"JR赤穂線","JR赤穂線"
164,11632,"JR加古川線","JR加古川線"
165,11633,"JR姫新線(姫路～佐用)","JR姫新線(姫路～佐用)"
166,11634,"JR姫新線(佐用～新見)","JR姫新線(佐用～新見)"
167,11635,"JR播但線","JR播但線"
168,11636,"JR和歌山線","JR和歌山線"
169,11637,"万葉まほろば線","桜井線"
170,11639,"きのくに線","JR紀勢本線(新宮～和歌山)"
171,11640,"紀勢本線(和歌山～和歌山市)","紀勢本線(和歌山～和歌山市)"
172,11641,"おおさか東線","おおさか東線"
173,11701,"JR山陰本線(米子～益田)","JR山陰本線(米子～益田)"
174,11702,"JR山陰本線(益田～下関)","JR山陰本線(益田～下関)"
175,11703,"JR伯備線","JR伯備線"
176,11704,"JR因美線","JR因美線"
177,11705,"JR境線","JR境線"
178,11706,"JR木次線","JR木次線"
179,11707,"JR三江線","JR三江線"
180,11708,"JR山口線","JR山口線"
181,11709,"JR宇野線","JR宇野線"
182,11710,"瀬戸大橋線","JR本四備讃線"
183,11713,"JR吉備線","JR吉備線"
184,11714,"JR芸備線","JR芸備線"
185,11715,"JR津山線","JR津山線"
186,11716,"JR呉線","JR呉線"
187,11717,"JR可部線","JR可部線"
188,11720,"JR福塩線","JR福塩線"
189,11721,"JR宇部線","JR宇部線"
190,11722,"JR美祢線","JR美祢線"
191,11723,"JR小野田線","JR小野田線"
192,11724,"JR岩徳線","JR岩徳線"
193,11801,"JR土讃線","JR土讃線"
194,11802,"JR高徳線","JR高徳線"
195,11803,"よしの川ブルーライン","JR徳島線"
196,11804,"JR牟岐線","JR牟岐線"
197,11805,"JR鳴門線","JR鳴門線"
198,11806,"JR予讃線","JR予讃線"
199,11807,"JR予讃・内子線","JR予讃・内子線"
200,11808,"しまんとグリーンライン","JR予土線"
201,11901,"JR博多南線","JR博多南線"
202,11902,"JR鹿児島本線(下関・門司港～博多)","JR鹿児島本線(下関・門司港～博多)"
203,11903,"JR鹿児島本線(博多～八代)","JR鹿児島本線(博多～八代)"
204,11904,"JR鹿児島本線(川内～鹿児島)","JR鹿児島本線(川内～鹿児島)"
205,11905,"JR長崎本線(鳥栖～長崎)","JR長崎本線(鳥栖～長崎)"
206,11906,"JR日豊本線(門司港～佐伯)","JR日豊本線(門司港～佐伯)"
207,11907,"JR日豊本線(佐伯～鹿児島中央)","JR日豊本線(佐伯～鹿児島中央)"
208,11908,"福北ゆたか線","JR篠栗線"
209,11909,"JR筑肥線(姪浜～西唐津)","JR筑肥線(姪浜～西唐津)"
210,11910,"若松線","JR筑豊本線(若松～折尾)"
211,11911,"福北ゆたか線(折尾～桂川)","JR筑豊本線(折尾～桂川)"
